origen,destino,peso
Fiscalía Regional de Magallanes,Gabriel Boric,1
Fiscalía Regional de Magallanes,Gabriel Boric Font,1
Fiscalía Regional de Magallanes,Jonatan Valenzuela,1
Fiscalía Regional de Magallanes,Juzgado de Garantía de Punta Arenas,1
Fiscalía Regional de Magallanes,Manuel Monsalve,1
Fiscalía Regional de Magallanes,Presidencia,1
Fiscalía Regional de Magallanes,Presidente,1
Fiscalía Regional de Magallanes,Presidente Boric,1
Gabriel Boric,Gabriel Boric Font,1
Gabriel Boric Font,Jonatan Valenzuela,1
Gabriel Boric Font,Juzgado de Garantía de Punta Arenas,1
Gabriel Boric Font,Manuel Monsalve,1
Gabriel Boric Font,Presidencia,1
Gabriel Boric Font,Presidente,2
Gabriel Boric Font,Presidente Boric,2
Jonatan Valenzuela,Presidencia,1
Juzgado de Garantía de Punta Arenas,Presidencia,1
Manuel Monsalve,Presidencia,2
César Guzmán,Guzmán,1
César Guzmán,Jorge Valdivia,1
César Guzmán,Paula Vial,1
Guzmán,Jorge Valdivia,1
Guzmán,Paula Vial,1
Jorge Valdivia,Paula Vial,2
Frente Patriótico,Hernández,1
Frente Patriótico,Interpol,1
Frente Patriótico,Interpol Bolivia,1
Frente Patriótico,Juan Carlos Bazoalto,1
Frente Patriótico,Justicia francesa,1
Frente Patriótico,La Policía de Bolivia,1
Frente Patriótico,Manuel Rodríguez,1
Frente Patriótico,Mauricio Hernández Norambuena,1
Frente Patriótico,Muñoz,1
Frente Patriótico,Muñoz Hoffman,1
Frente Patriótico,Ortiz,1
Frente Patriótico,Pablo Muñoz Hoffman,1
Frente Patriótico,Patricio Ortiz Montenegro,1
Frente Patriótico,Policía,1
Frente Patriótico,Ricardo Palma Salamanca,1
Frente Patriótico,Según Bazoalto,1
Hernández,Interpol,1
Hernández,Interpol Bolivia,1
Hernández,Juan Carlos Bazoalto,1
Hernández,Justicia francesa,1
Hernández,La Policía de Bolivia,1
Hernández,Manuel Rodríguez,1
Hernández,Mauricio Hernández Norambuena,1
Hernández,Muñoz,1
Hernández,Muñoz Hoffman,1
Hernández,Ortiz,1
Hernández,Pablo Muñoz Hoffman,1
Hernández,Patricio Ortiz Montenegro,1
Hernández,Policía,1
Hernández,Ricardo Palma Salamanca,1
Hernández,Según Bazoalto,1
Interpol,Interpol Bolivia,3
Interpol,Juan Carlos Bazoalto,2
Interpol,Justicia francesa,1
Interpol,La Policía de Bolivia,1
Interpol,Manuel Rodríguez,1
Interpol,Mauricio Hernández Norambuena,2
Interpol,Muñoz,2
Interpol,Muñoz Hoffman,6
Interpol,Ortiz,1
Interpol,Pablo Muñoz Hoffman,6
Interpol,Patricio Ortiz Montenegro,2
Interpol,Policía,3
Interpol,Ricardo Palma Salamanca,2
Interpol,Según Bazoalto,1
Interpol Bolivia,Juan Carlos Bazoalto,1
Interpol Bolivia,Justicia francesa,1
Interpol Bolivia,La Policía de Bolivia,1
Interpol Bolivia,Manuel Rodríguez,1
Interpol Bolivia,Mauricio Hernández Norambuena,1
Interpol Bolivia,Muñoz,1
Interpol Bolivia,Muñoz Hoffman,4
Interpol Bolivia,Ortiz,1
Interpol Bolivia,Pablo Muñoz Hoffman,4
Interpol Bolivia,Patricio Ortiz Montenegro,1
Interpol Bolivia,Policía,2
Interpol Bolivia,Ricardo Palma Salamanca,1
Interpol Bolivia,Según Bazoalto,1
Juan Carlos Bazoalto,Justicia francesa,1
Juan Carlos Bazoalto,La Policía de Bolivia,1
Juan Carlos Bazoalto,Manuel Rodríguez,1
Juan Carlos Bazoalto,Mauricio Hernández Norambuena,1
Juan Carlos Bazoalto,Muñoz,2
Juan Carlos Bazoalto,Muñoz Hoffman,2
Juan Carlos Bazoalto,Ortiz,1
Juan Carlos Bazoalto,Pablo Muñoz Hoffman,2
Juan Carlos Bazoalto,Patricio Ortiz Montenegro,1
Juan Carlos Bazoalto,Policía,2
Juan Carlos Bazoalto,Ricardo Palma Salamanca,1
Juan Carlos Bazoalto,Según Bazoalto,1
Justicia francesa,La Policía de Bolivia,1
Justicia francesa,Manuel Rodríguez,1
Justicia francesa,Mauricio Hernández Norambuena,1
Justicia francesa,Muñoz,1
Justicia francesa,Muñoz Hoffman,1
Justicia francesa,Ortiz,1
Justicia francesa,Pablo Muñoz Hoffman,1
Justicia francesa,Patricio Ortiz Montenegro,1
Justicia francesa,Policía,1
Justicia francesa,Ricardo Palma Salamanca,1
Justicia francesa,Según Bazoalto,1
La Policía de Bolivia,Manuel Rodríguez,1
La Policía de Bolivia,Mauricio Hernández Norambuena,1
La Policía de Bolivia,Muñoz,1
La Policía de Bolivia,Muñoz Hoffman,1
La Policía de Bolivia,Ortiz,1
La Policía de Bolivia,Pablo Muñoz Hoffman,1
La Policía de Bolivia,Patricio Ortiz Montenegro,1
La Policía de Bolivia,Policía,1
La Policía de Bolivia,Ricardo Palma Salamanca,1
La Policía de Bolivia,Según Bazoalto,1
Manuel Rodríguez,Mauricio Hernández Norambuena,1
Manuel Rodríguez,Muñoz,1
Manuel Rodríguez,Muñoz Hoffman,1
Manuel Rodríguez,Ortiz,1
Manuel Rodríguez,Pablo Muñoz Hoffman,1
Manuel Rodríguez,Patricio Ortiz Montenegro,1
Manuel Rodríguez,Policía,1
Manuel Rodríguez,Ricardo Palma Salamanca,1
Manuel Rodríguez,Según Bazoalto,1
Mauricio Hernández Norambuena,Muñoz,1
Mauricio Hernández Norambuena,Muñoz Hoffman,3
Mauricio Hernández Norambuena,Ortiz,1
Mauricio Hernández Norambuena,Pablo Muñoz Hoffman,3
Mauricio Hernández Norambuena,Patricio Ortiz Montenegro,3
Mauricio Hernández Norambuena,Policía,1
Mauricio Hernández Norambuena,Ricardo Palma Salamanca,3
Mauricio Hernández Norambuena,Según Bazoalto,1
Muñoz,Muñoz Hoffman,2
Muñoz,Ortiz,1
Muñoz,Pablo Muñoz Hoffman,2
Muñoz,Patricio Ortiz Montenegro,1
Muñoz,Policía,3
Muñoz,Ricardo Palma Salamanca,1
Muñoz,Según Bazoalto,1
Muñoz Hoffman,Ortiz,1
Muñoz Hoffman,Pablo Muñoz Hoffman,9
Muñoz Hoffman,Patricio Ortiz Montenegro,3
Muñoz Hoffman,Policía,3
Muñoz Hoffman,Ricardo Palma Salamanca,3
Muñoz Hoffman,Según Bazoalto,1
Ortiz,Pablo Muñoz Hoffman,1
Ortiz,Patricio Ortiz Montenegro,1
Ortiz,Policía,1
Ortiz,Ricardo Palma Salamanca,1
Ortiz,Según Bazoalto,1
Pablo Muñoz Hoffman,Patricio Ortiz Montenegro,3
Pablo Muñoz Hoffman,Policía,3
Pablo Muñoz Hoffman,Ricardo Palma Salamanca,3
Pablo Muñoz Hoffman,Según Bazoalto,1
Patricio Ortiz Montenegro,Policía,1
Patricio Ortiz Montenegro,Ricardo Palma Salamanca,3
Patricio Ortiz Montenegro,Según Bazoalto,1
Policía,Ricardo Palma Salamanca,1
Policía,Según Bazoalto,1
Ricardo Palma Salamanca,Según Bazoalto,1
Frente Patriótico Manuel Rodríguez,Fuerza Aérea,1
Frente Patriótico Manuel Rodríguez,Gustavo Leigh,1
Frente Patriótico Manuel Rodríguez,Interpol,2
Frente Patriótico Manuel Rodríguez,Interpol Santiago,2
Frente Patriótico Manuel Rodríguez,Juan Araya,1
Frente Patriótico Manuel Rodríguez,Mario Carroza,1
Frente Patriótico Manuel Rodríguez,Mauricio Hernández Norambuena,2
Frente Patriótico Manuel Rodríguez,Muñoz Hoffman,3
Frente Patriótico Manuel Rodríguez,Notificación Roja,3
Frente Patriótico Manuel Rodríguez,Pablo Muñoz,2
Frente Patriótico Manuel Rodríguez,Pablo Muñoz Hoffman,3
Frente Patriótico Manuel Rodríguez,Patricio Ortiz Montenegro,2
Frente Patriótico Manuel Rodríguez,Ricardo Palma Salamanca,2
Fuerza Aérea,Gustavo Leigh,1
Fuerza Aérea,Interpol,1
Fuerza Aérea,Interpol Santiago,1
Fuerza Aérea,Juan Araya,1
Fuerza Aérea,Mario Carroza,1
Fuerza Aérea,Mauricio Hernández Norambuena,1
Fuerza Aérea,Muñoz Hoffman,1
Fuerza Aérea,Notificación Roja,1
Fuerza Aérea,Pablo Muñoz,1
Fuerza Aérea,Pablo Muñoz Hoffman,1
Fuerza Aérea,Patricio Ortiz Montenegro,1
Fuerza Aérea,Ricardo Palma Salamanca,1
Gustavo Leigh,Interpol,1
Gustavo Leigh,Interpol Santiago,1
Gustavo Leigh,Juan Araya,1
Gustavo Leigh,Mario Carroza,1
Gustavo Leigh,Mauricio Hernández Norambuena,1
Gustavo Leigh,Muñoz Hoffman,1
Gustavo Leigh,Notificación Roja,1
Gustavo Leigh,Pablo Muñoz,1
Gustavo Leigh,Pablo Muñoz Hoffman,1
Gustavo Leigh,Patricio Ortiz Montenegro,1
Gustavo Leigh,Ricardo Palma Salamanca,1
Interpol,Interpol Santiago,2
Interpol,Juan Araya,1
Interpol,Mario Carroza,1
Interpol,Notificación Roja,4
Interpol,Pablo Muñoz,1
Interpol Santiago,Juan Araya,1
Interpol Santiago,Mario Carroza,1
Interpol Santiago,Mauricio Hernández Norambuena,2
Interpol Santiago,Muñoz Hoffman,3
Interpol Santiago,Notificación Roja,3
Interpol Santiago,Pablo Muñoz,2
Interpol Santiago,Pablo Muñoz Hoffman,3
Interpol Santiago,Patricio Ortiz Montenegro,2
Interpol Santiago,Ricardo Palma Salamanca,2
Juan Araya,Mario Carroza,1
Juan Araya,Mauricio Hernández Norambuena,1
Juan Araya,Muñoz Hoffman,1
Juan Araya,Notificación Roja,1
Juan Araya,Pablo Muñoz,1
Juan Araya,Pablo Muñoz Hoffman,1
Juan Araya,Patricio Ortiz Montenegro,1
Juan Araya,Ricardo Palma Salamanca,1
Mario Carroza,Mauricio Hernández Norambuena,1
Mario Carroza,Muñoz Hoffman,1
Mario Carroza,Notificación Roja,1
Mario Carroza,Pablo Muñoz,1
Mario Carroza,Pablo Muñoz Hoffman,1
Mario Carroza,Patricio Ortiz Montenegro,1
Mario Carroza,Ricardo Palma Salamanca,1
Mauricio Hernández Norambuena,Notificación Roja,2
Mauricio Hernández Norambuena,Pablo Muñoz,2
Muñoz Hoffman,Notificación Roja,6
Muñoz Hoffman,Pablo Muñoz,2
Notificación Roja,Pablo Muñoz,2
Notificación Roja,Pablo Muñoz Hoffman,6
Notificación Roja,Patricio Ortiz Montenegro,2
Notificación Roja,Ricardo Palma Salamanca,2
Pablo Muñoz,Pablo Muñoz Hoffman,2
Pablo Muñoz,Patricio Ortiz Montenegro,2
Pablo Muñoz,Ricardo Palma Salamanca,2
Audio-,Cristián Letelier,1
Audio-,Cámara de Diputados,1
Audio-,José Ignacio Vásquez,1
Audio-,Juan José Romero,1
Audio-,Letelier,1
Audio-,Luis Hermosilla,1
Audio-,RN Sergio Romero,1
Audio-,Senado,1
Audio-,Tribunal Constitucional,1
Audio-,Universidad Católica,1
Audio-,Ángela Vivanco,1
Cristián Letelier,Cámara de Diputados,1
Cristián Letelier,José Ignacio Vásquez,1
Cristián Letelier,Juan José Romero,1
Cristián Letelier,Letelier,1
Cristián Letelier,Luis Hermosilla,1
Cristián Letelier,RN Sergio Romero,1
Cristián Letelier,Senado,1
Cristián Letelier,Tribunal Constitucional,1
Cristián Letelier,Universidad Católica,1
Cristián Letelier,Ángela Vivanco,1
Cámara de Diputados,José Ignacio Vásquez,1
Cámara de Diputados,Juan José Romero,1
Cámara de Diputados,Letelier,1
Cámara de Diputados,Luis Hermosilla,1
Cámara de Diputados,RN Sergio Romero,1
Cámara de Diputados,Senado,3
Cámara de Diputados,Tribunal Constitucional,2
Cámara de Diputados,Universidad Católica,1
Cámara de Diputados,Ángela Vivanco,1
José Ignacio Vásquez,Juan José Romero,1
José Ignacio Vásquez,Letelier,1
José Ignacio Vásquez,Luis Hermosilla,1
José Ignacio Vásquez,RN Sergio Romero,1
José Ignacio Vásquez,Senado,1
José Ignacio Vásquez,Tribunal Constitucional,1
José Ignacio Vásquez,Universidad Católica,1
José Ignacio Vásquez,Ángela Vivanco,1
Juan José Romero,Letelier,1
Juan José Romero,Luis Hermosilla,1
Juan José Romero,RN Sergio Romero,1
Juan José Romero,Senado,1
Juan José Romero,Tribunal Constitucional,1
Juan José Romero,Universidad Católica,1
Juan José Romero,Ángela Vivanco,1
Letelier,Luis Hermosilla,1
Letelier,RN Sergio Romero,1
Letelier,Senado,1
Letelier,Tribunal Constitucional,1
Letelier,Universidad Católica,1
Letelier,Ángela Vivanco,1
Luis Hermosilla,RN Sergio Romero,1
Luis Hermosilla,Senado,1
Luis Hermosilla,Tribunal Constitucional,1
Luis Hermosilla,Universidad Católica,1
Luis Hermosilla,Ángela Vivanco,1
RN Sergio Romero,Senado,1
RN Sergio Romero,Tribunal Constitucional,1
RN Sergio Romero,Universidad Católica,1
RN Sergio Romero,Ángela Vivanco,1
Senado,Tribunal Constitucional,5
Senado,Universidad Católica,1
Senado,Ángela Vivanco,1
Tribunal Constitucional,Universidad Católica,1
Tribunal Constitucional,Ángela Vivanco,1
Universidad Católica,Ángela Vivanco,1
DA Hoteles,Diego de Almagro,1
DA Hoteles,Enea,1
DA Hoteles,Álvaro Castilla,1
Diego de Almagro,Enea,1
Diego de Almagro,Álvaro Castilla,1
Enea,Álvaro Castilla,1
GOPE,Personal de Carabineros,1
Chiara Barchiesi,Cámara,1
Chiara Barchiesi,Cámara de Diputados,1
Chiara Barchiesi,Humberto García,1
Chiara Barchiesi,Instituto Chileno de Políticas Públicas,1
Chiara Barchiesi,Instituto Chileno de Políticas Públicas y la,1
Chiara Barchiesi,Longton,1
Chiara Barchiesi,Luis Malla Valenzuela,1
Chiara Barchiesi,Partido Radical,1
Chiara Barchiesi,Patricio Mardones,1
Chiara Barchiesi,Pedro Aguirre Cerda,1
Chiara Barchiesi,Red Nacional de Salud,1
Chiara Barchiesi,Red Nacional de Salud y la Cruz Roja,1
Chiara Barchiesi,Registro Nacional de Deudores de Pensión de Alimentos,1
Chiara Barchiesi,"Registro Nacional de Pirómanos""",1
Chiara Barchiesi,Republicanos,1
Chiara Barchiesi,Solicitamos,1
Chiara Barchiesi,Tomás Lagomarsino,1
Cámara,Cámara de Diputados,9
Cámara,Humberto García,1
Cámara,Instituto Chileno de Políticas Públicas,1
Cámara,Instituto Chileno de Políticas Públicas y la,1
Cámara,Longton,1
Cámara,Luis Malla Valenzuela,1
Cámara,Partido Radical,1
Cámara,Patricio Mardones,1
Cámara,Pedro Aguirre Cerda,1
Cámara,Red Nacional de Salud,1
Cámara,Red Nacional de Salud y la Cruz Roja,1
Cámara,Registro Nacional de Deudores de Pensión de Alimentos,1
Cámara,"Registro Nacional de Pirómanos""",1
Cámara,Republicanos,4
Cámara,Solicitamos,1
Cámara,Tomás Lagomarsino,1
Cámara de Diputados,Humberto García,1
Cámara de Diputados,Instituto Chileno de Políticas Públicas,1
Cámara de Diputados,Instituto Chileno de Políticas Públicas y la,1
Cámara de Diputados,Longton,1
Cámara de Diputados,Luis Malla Valenzuela,1
Cámara de Diputados,Partido Radical,1
Cámara de Diputados,Patricio Mardones,1
Cámara de Diputados,Pedro Aguirre Cerda,1
Cámara de Diputados,Red Nacional de Salud,1
Cámara de Diputados,Red Nacional de Salud y la Cruz Roja,1
Cámara de Diputados,Registro Nacional de Deudores de Pensión de Alimentos,1
Cámara de Diputados,"Registro Nacional de Pirómanos""",1
Cámara de Diputados,Republicanos,3
Cámara de Diputados,Solicitamos,1
Cámara de Diputados,Tomás Lagomarsino,1
Humberto García,Instituto Chileno de Políticas Públicas,1
Humberto García,Instituto Chileno de Políticas Públicas y la,1
Humberto García,Longton,1
Humberto García,Luis Malla Valenzuela,1
Humberto García,Partido Radical,1
Humberto García,Patricio Mardones,1
Humberto García,Pedro Aguirre Cerda,1
Humberto García,Red Nacional de Salud,1
Humberto García,Red Nacional de Salud y la Cruz Roja,1
Humberto García,Registro Nacional de Deudores de Pensión de Alimentos,1
Humberto García,"Registro Nacional de Pirómanos""",1
Humberto García,Republicanos,1
Humberto García,Solicitamos,1
Humberto García,Tomás Lagomarsino,1
Instituto Chileno de Políticas Públicas,Instituto Chileno de Políticas Públicas y la,1
Instituto Chileno de Políticas Públicas,Longton,1
Instituto Chileno de Políticas Públicas,Luis Malla Valenzuela,1
Instituto Chileno de Políticas Públicas,Partido Radical,1
Instituto Chileno de Políticas Públicas,Patricio Mardones,1
Instituto Chileno de Políticas Públicas,Pedro Aguirre Cerda,1
Instituto Chileno de Políticas Públicas,Red Nacional de Salud,1
Instituto Chileno de Políticas Públicas,Red Nacional de Salud y la Cruz Roja,1
Instituto Chileno de Políticas Públicas,Registro Nacional de Deudores de Pensión de Alimentos,1
Instituto Chileno de Políticas Públicas,"Registro Nacional de Pirómanos""",1
Instituto Chileno de Políticas Públicas,Republicanos,1
Instituto Chileno de Políticas Públicas,Solicitamos,1
Instituto Chileno de Políticas Públicas,Tomás Lagomarsino,1
Instituto Chileno de Políticas Públicas y la,Longton,1
Instituto Chileno de Políticas Públicas y la,Luis Malla Valenzuela,1
Instituto Chileno de Políticas Públicas y la,Partido Radical,1
Instituto Chileno de Políticas Públicas y la,Patricio Mardones,1
Instituto Chileno de Políticas Públicas y la,Pedro Aguirre Cerda,1
Instituto Chileno de Políticas Públicas y la,Red Nacional de Salud,1
Instituto Chileno de Políticas Públicas y la,Red Nacional de Salud y la Cruz Roja,1
Instituto Chileno de Políticas Públicas y la,Registro Nacional de Deudores de Pensión de Alimentos,1
Instituto Chileno de Políticas Públicas y la,"Registro Nacional de Pirómanos""",1
Instituto Chileno de Políticas Públicas y la,Republicanos,1
Instituto Chileno de Políticas Públicas y la,Solicitamos,1
Instituto Chileno de Políticas Públicas y la,Tomás Lagomarsino,1
Longton,Luis Malla Valenzuela,1
Longton,Partido Radical,1
Longton,Patricio Mardones,1
Longton,Pedro Aguirre Cerda,1
Longton,Red Nacional de Salud,1
Longton,Red Nacional de Salud y la Cruz Roja,1
Longton,Registro Nacional de Deudores de Pensión de Alimentos,1
Longton,"Registro Nacional de Pirómanos""",1
Longton,Republicanos,1
Longton,Solicitamos,1
Longton,Tomás Lagomarsino,1
Luis Malla Valenzuela,Partido Radical,1
Luis Malla Valenzuela,Patricio Mardones,1
Luis Malla Valenzuela,Pedro Aguirre Cerda,1
Luis Malla Valenzuela,Red Nacional de Salud,1
Luis Malla Valenzuela,Red Nacional de Salud y la Cruz Roja,1
Luis Malla Valenzuela,Registro Nacional de Deudores de Pensión de Alimentos,1
Luis Malla Valenzuela,"Registro Nacional de Pirómanos""",1
Luis Malla Valenzuela,Republicanos,1
Luis Malla Valenzuela,Solicitamos,1
Luis Malla Valenzuela,Tomás Lagomarsino,1
Partido Radical,Patricio Mardones,1
Partido Radical,Pedro Aguirre Cerda,1
Partido Radical,Red Nacional de Salud,1
Partido Radical,Red Nacional de Salud y la Cruz Roja,1
Partido Radical,Registro Nacional de Deudores de Pensión de Alimentos,1
Partido Radical,"Registro Nacional de Pirómanos""",1
Partido Radical,Republicanos,1
Partido Radical,Solicitamos,1
Partido Radical,Tomás Lagomarsino,1
Patricio Mardones,Pedro Aguirre Cerda,1
Patricio Mardones,Red Nacional de Salud,1
Patricio Mardones,Red Nacional de Salud y la Cruz Roja,1
Patricio Mardones,Registro Nacional de Deudores de Pensión de Alimentos,1
Patricio Mardones,"Registro Nacional de Pirómanos""",1
Patricio Mardones,Republicanos,1
Patricio Mardones,Solicitamos,1
Patricio Mardones,Tomás Lagomarsino,1
Pedro Aguirre Cerda,Red Nacional de Salud,1
Pedro Aguirre Cerda,Red Nacional de Salud y la Cruz Roja,1
Pedro Aguirre Cerda,Registro Nacional de Deudores de Pensión de Alimentos,1
Pedro Aguirre Cerda,"Registro Nacional de Pirómanos""",1
Pedro Aguirre Cerda,Republicanos,1
Pedro Aguirre Cerda,Solicitamos,1
Pedro Aguirre Cerda,Tomás Lagomarsino,1
Red Nacional de Salud,Red Nacional de Salud y la Cruz Roja,1
Red Nacional de Salud,Registro Nacional de Deudores de Pensión de Alimentos,1
Red Nacional de Salud,"Registro Nacional de Pirómanos""",1
Red Nacional de Salud,Republicanos,1
Red Nacional de Salud,Solicitamos,1
Red Nacional de Salud,Tomás Lagomarsino,1
Red Nacional de Salud y la Cruz Roja,Registro Nacional de Deudores de Pensión de Alimentos,1
Red Nacional de Salud y la Cruz Roja,"Registro Nacional de Pirómanos""",1
Red Nacional de Salud y la Cruz Roja,Republicanos,1
Red Nacional de Salud y la Cruz Roja,Solicitamos,1
Red Nacional de Salud y la Cruz Roja,Tomás Lagomarsino,1
Registro Nacional de Deudores de Pensión de Alimentos,"Registro Nacional de Pirómanos""",1
Registro Nacional de Deudores de Pensión de Alimentos,Republicanos,1
Registro Nacional de Deudores de Pensión de Alimentos,Solicitamos,1
Registro Nacional de Deudores de Pensión de Alimentos,Tomás Lagomarsino,1
"Registro Nacional de Pirómanos""",Republicanos,1
"Registro Nacional de Pirómanos""",Solicitamos,1
"Registro Nacional de Pirómanos""",Tomás Lagomarsino,1
Republicanos,Solicitamos,1
Republicanos,Tomás Lagomarsino,1
Solicitamos,Tomás Lagomarsino,1
Brigada de Homicidios,Oficiales,1
Brigada de Homicidios,Pierre Neira,1
Brigada de Homicidios,Servicio Médico Legal,1
Brigada de Homicidios,Unidad de Flagrancia de la Fiscalía de Los Ríos,1
Oficiales,Pierre Neira,1
Oficiales,Servicio Médico Legal,1
Oficiales,Unidad de Flagrancia de la Fiscalía de Los Ríos,1
Pierre Neira,Servicio Médico Legal,1
Pierre Neira,Unidad de Flagrancia de la Fiscalía de Los Ríos,1
Servicio Médico Legal,Unidad de Flagrancia de la Fiscalía de Los Ríos,1
Agustín Iglesias,Calles,2
Agustín Iglesias,Claudia Pizarro,1
Agustín Iglesias,Iglesias,1
Agustín Iglesias,Leitao,1
Agustín Iglesias,Luis Cordero,1
Agustín Iglesias,Radio Universo,1
Agustín Iglesias,Violencia,2
Calles,Claudia Pizarro,1
Calles,Iglesias,1
Calles,Radio Universo,1
Claudia Pizarro,Iglesias,1
Claudia Pizarro,Leitao,1
Claudia Pizarro,Luis Cordero,1
Claudia Pizarro,Radio Universo,1
Claudia Pizarro,Violencia,1
Iglesias,Leitao,1
Iglesias,Luis Cordero,1
Iglesias,Radio Universo,1
Iglesias,Violencia,1
Leitao,Radio Universo,1
Luis Cordero,Radio Universo,1
Radio Universo,Violencia,1
Comisiones de Salud del Senado,Cámara de Diputadas y Diputados,1
Comisiones de Salud del Senado,Salud de la Cámara,1
Cámara de Diputadas y Diputados,Salud de la Cámara,1
Coloma,Mandatario,1
Coloma,Prefiero,1
Gabriel Boric,Prefiero,1
Juan Antonio Coloma,Prefiero,1
Mandatario,Prefiero,1
Prefiero,Presidente,1
Barnechea,Carabineros,1
Barnechea,Copec,1
Barnechea,Felipe Alessandri,1
Barnechea,General Director de Carabineros,1
Barnechea,Ricardo Yáñez,1
Barnechea,Teniente Merino,1
Carabineros,Copec,1
Carabineros,Felipe Alessandri,1
Carabineros,General Director de Carabineros,2
Carabineros,Ricardo Yáñez,1
Carabineros,Teniente Merino,1
Copec,Felipe Alessandri,1
Copec,General Director de Carabineros,1
Copec,Ricardo Yáñez,1
Copec,Teniente Merino,1
Felipe Alessandri,General Director de Carabineros,1
Felipe Alessandri,Ricardo Yáñez,1
Felipe Alessandri,Teniente Merino,1
General Director de Carabineros,Ricardo Yáñez,1
General Director de Carabineros,Teniente Merino,1
Ricardo Yáñez,Teniente Merino,1
"Barnechea728,340","Barros AranaSantiago600,3607,3",1
"Barnechea728,340","Barros BorgoñoSantiago610,2612,1",1
"Barnechea728,340","Bautista ContardiPunta Arenas620,5639,5 784Octavio Palma PérezArica612,0632,1",1
"Barnechea728,340",British Royal,1
"Barnechea728,340",Carvajal,1
"Barnechea728,340",Colegio Región Comuna Promedio PAES N° Alumnos,1
"Barnechea728,340","Florida715,264 20Almondale LomasVIIIConcepción714,0115 21Saint",1
"Barnechea728,340","FloridaRMLa Florida710,9116 24Leonardo Da Vinci SchoolIXPitrufquén710,031",1
"Barnechea728,340","Jorge E. SchneiderSantiago621,1613,1",1
"Barnechea728,340","Leonardo da VinciRMLas Condes694,531",1
"Barnechea728,340",Liceo Comuna Promedio Mat,1
"Barnechea728,340","Luisa SaavedraProvidencia649,0656,5 579Abate MolinaTalca646,9654,1",1
"Barnechea728,340","Mary CollegeRMBuin712,132",1
"Barnechea728,340","María Luisa BombalRMVitacura722,835 14Bicentenario",1
"Barnechea728,340",Pablo IIRMLas,1
"Barnechea728,340","Pedro de la Paz722,279",1
"Barnechea728,340",Pontificia Universidad Católica de Chile,1
"Barnechea728,340",Santa Teresa de Los,1
"Barnechea728,340","Velasco MelipillaRMMelipilla709,725  Rendimiento",1
"Barnechea728,340","Victorino LastarriaProvidencia680,5678,8",1
"Barros AranaSantiago600,3607,3","Barros BorgoñoSantiago610,2612,1",1
"Barros AranaSantiago600,3607,3","Bautista ContardiPunta Arenas620,5639,5 784Octavio Palma PérezArica612,0632,1",1
"Barros AranaSantiago600,3607,3",British Royal,1
"Barros AranaSantiago600,3607,3",Carvajal,1
"Barros AranaSantiago600,3607,3",Colegio Región Comuna Promedio PAES N° Alumnos,1
"Barros AranaSantiago600,3607,3","Florida715,264 20Almondale LomasVIIIConcepción714,0115 21Saint",1
"Barros AranaSantiago600,3607,3","FloridaRMLa Florida710,9116 24Leonardo Da Vinci SchoolIXPitrufquén710,031",1
"Barros AranaSantiago600,3607,3","Jorge E. SchneiderSantiago621,1613,1",1
"Barros AranaSantiago600,3607,3","Leonardo da VinciRMLas Condes694,531",1
"Barros AranaSantiago600,3607,3",Liceo Comuna Promedio Mat,1
"Barros AranaSantiago600,3607,3","Luisa SaavedraProvidencia649,0656,5 579Abate MolinaTalca646,9654,1",1
"Barros AranaSantiago600,3607,3","Mary CollegeRMBuin712,132",1
"Barros AranaSantiago600,3607,3","María Luisa BombalRMVitacura722,835 14Bicentenario",1
"Barros AranaSantiago600,3607,3",Pablo IIRMLas,1
"Barros AranaSantiago600,3607,3","Pedro de la Paz722,279",1
"Barros AranaSantiago600,3607,3",Pontificia Universidad Católica de Chile,1
"Barros AranaSantiago600,3607,3",Santa Teresa de Los,1
"Barros AranaSantiago600,3607,3","Velasco MelipillaRMMelipilla709,725  Rendimiento",1
"Barros AranaSantiago600,3607,3","Victorino LastarriaProvidencia680,5678,8",1
"Barros BorgoñoSantiago610,2612,1","Bautista ContardiPunta Arenas620,5639,5 784Octavio Palma PérezArica612,0632,1",1
"Barros BorgoñoSantiago610,2612,1",British Royal,1
"Barros BorgoñoSantiago610,2612,1",Carvajal,1
"Barros BorgoñoSantiago610,2612,1",Colegio Región Comuna Promedio PAES N° Alumnos,1
"Barros BorgoñoSantiago610,2612,1","Florida715,264 20Almondale LomasVIIIConcepción714,0115 21Saint",1
"Barros BorgoñoSantiago610,2612,1","FloridaRMLa Florida710,9116 24Leonardo Da Vinci SchoolIXPitrufquén710,031",1
"Barros BorgoñoSantiago610,2612,1","Jorge E. SchneiderSantiago621,1613,1",1
"Barros BorgoñoSantiago610,2612,1","Leonardo da VinciRMLas Condes694,531",1
"Barros BorgoñoSantiago610,2612,1",Liceo Comuna Promedio Mat,1
"Barros BorgoñoSantiago610,2612,1","Luisa SaavedraProvidencia649,0656,5 579Abate MolinaTalca646,9654,1",1
"Barros BorgoñoSantiago610,2612,1","Mary CollegeRMBuin712,132",1
"Barros BorgoñoSantiago610,2612,1","María Luisa BombalRMVitacura722,835 14Bicentenario",1
"Barros BorgoñoSantiago610,2612,1",Pablo IIRMLas,1
"Barros BorgoñoSantiago610,2612,1","Pedro de la Paz722,279",1
"Barros BorgoñoSantiago610,2612,1",Pontificia Universidad Católica de Chile,1
